,,Jadwal Gasal Teknik Informatika 2025/2026,,,,,,,,,
,,,,,,,,,,,
,09.30 - 10.20,Biometrika A (IF 7) - KAMIS / 09:30 - 12:00 / 407 / Arif,Proyek Perangkat Lunak E (IF 5) - KAMIS / 09:30 - 12:00 / 406 / Andharini,Pencarian dan Penambangan Web A (IF 7) - KAMIS / 09:30 - 12:00 / 306 / Mul,Pembelajaran Mesin E (IF 5) - KAMIS / 09:30 - 12:00 / 304 / Bas,,Pengembangan Aplikasi Web E (IF 3) - KAMIS / 09:30 - 12:00 / Lab TIA / Ifa,Pengembangan Aplikasi Web G (IF 3) - KAMIS / 09:30 - 12:00 / LAB CC / Kurnix,Algoritma & Dasar Pemrograman F (IF 1) - KAMIS / 09:30 - 12:00 / Lab Mul-Net / Indah,Sistem Terdistribusi E (IF 5) - KAMIS / 09:30 - 12:00 / Lab Lantai 4 / Hermawan,
,10.20 - 11.10,,,,,Metodologi Penelitian F (IF 5) - KAMIS / 10:20 - 12:00 / 203 / Firdaus,,,,,
,11.10 - 12.00,,,,,,,,,,
,12.00 - 13.00,I S T I R A H A T,,,,,,,,,
,13.00 - 13.50,Proyek Sains Data D (IF 5) - KAMIS / 13:00 - 15:30 / 407 / Yonathan,Matematika E (IF 1) - KAMIS / 13:00 - 15:30 / 406 / Bain,Pencarian dan Penambangan Web B (IF 7) - KAMIS / 13:00 - 15:30 / 306 / Mul,Pembelajaran Mesin D (IF 5) - KAMIS / 13:00 - 15:30 / 304 / Bas,Teori Komputasi C (IF 3) - KAMIS / 13:00 - 15:30 / 203 / Firdaus,Pengantar Teknologi Informasi B (IF 1) - KAMIS / 13:00 - 14:40 / Lab TIA / Ocal,Sistem Terdistribusi B (IF 5) - KAMIS / 13:00 - 15:30 / LAB CC / Yoga,Algoritma & Dasar Pemrograman G (IF 1) - KAMIS / 13:00 - 15:30 / Lab Mul-Net / Arik,Sistem Terdistribusi D (IF 5) - KAMIS / 13:00 - 15:30 / Lab Lantai 4 / Hermawan,
,13.50 - 14.40,,,,,,,,,,
,14.40 - 15.30,,,,,,,,,,
,15.30 - 16.20,Proyek Sains Data E (IF 5) - KAMIS / 15:30 - 18:00 / 407 / Yonathan,,,,,,,,,
,16.20 - 17.10,,,,,,,,,,
,17.10 - 18.00,,,,,,,,,,
,,,,,,,,,,,
,,407,406,306,304,203,Lab TIA,LAB CC,Lab Mul-Net,Lab Lantai 4,Lab Sos/Sister
JUMAT,07:00 - 07:50,,,RAPAT - JUMAT / 07:00 - 12:00 / 306 / SIDANG SKRIPSI,,,,,,,
,07.50 - 08.40,,,,,,,,,,
